PLAYER,TOTAL_SCORE,CHEST_COUNT,Arena,Authority Rush tournament,Clan wealth,Clash for the Throne tournamer,Epic Ancient squad,Epic Undead squad,Jormungandr Shop,Level 10 Citadel,Level 10 Crypt,Level 10 rare Crypt,Level 15 Citadel,Level 15 Crypt,Level 15 epic Crypt,Level 15 rare Crypt,Level 16 heroic Monster,Level 20 Citadel,Level 20 Crypt,Level 20 epic Crypt,Level 20 heroic Monster,Level 20 rare Crypt,Level 20-24 Vault of the Ancient,Level 25 Citadel,Level 25 Crypt,Level 25 epic Crypt,Level 25 rare Crypt,Level 25-29 Vault of the Ancient,Level 30 Citadel,Level 30 epic Crypt,Level 30 rare Crypt,Level 30-34 Vault of the Ancient,Level 32 heroic Monster,Level 35 epic Crypt,Level 35-39 Vault of the Ancient,Level 40 heroic Monster,Level 40-44 Vault of the Ancient,Level 41 heroic Monster,Level 42 heroic Monster,Level 43 heroic Monster,Level 44 heroic Monster,Level 45 Vault of the Ancients,Level 45 heroic Monster,Level 5 Crypt,Mercenary Exchange,Mimic Chest,Rise of the Ancients event,Shadow City,Union of Triumph personal rew,Union of Triumph personal rew.,Union of Triumph personal rew:
Megninad,30100,830,0,0,0,0,0,0,0,0,130,0,150,240,0,0,0,180,120,0,0,0,0,750,12000,0,0,0,250,0,1980,0,0,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajurus,24500,520,0,0,0,0,0,0,0,0,0,0,15,0,0,30,0,0,0,60,0,0,0,0,3100,12400,4200,0,1000,90,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragorn,8500,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,2600,2000,0,60,0,340,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe 2,8500,295,0,0,0,0,0,0,0,0,40,0,375,15,765,150,0,2000,440,1500,0,1300,0,75,1100,75,400,0,0,270,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumblebee,6400,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,250,2000,0,0,1000,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategus,5800,200,0,0,0,0,0,0,0,0,60,0,90,105,225,90,0,340,640,1300,0,650,0,375,1300,225,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tugo,5300,205,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,2900,1050,0,0,0,0,25,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court Jester Herzi,5200,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,3700,600,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angus,4900,125,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUARDIENoffHUNDER,4800,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,1500,0,30,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
